[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5009_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5009_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5010_14_1_4.ber
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]Reading File :cbconiv_Fusion_5010_14_1_4.ber.realigned
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
